onset	duration	sample	stimuli	name	response_time	value
5.714	0	5715	PARACHUT	DIN1	1338	1
11.214	0	11215	RULER	DIN1	1068	1
16.714	0	16715	FISH	DIN1	679	1
22.214	0	22215	TENTE	DIN1	1097	1
27.713	0	27714	TURTLE	DIN1	Rien	0
32.213	0	32214	FOX	DIN1	974	1
37.713	0	37714	BANANA	DIN1	1279	1
43.213	0	43214	EAR	DIN1	882	1
47.713	0	47714	UMBRELLA	DIN1	1083	1
52.213	0	52214	LEG	DIN1	933	1
56.713	0	56714	frenchcr	DIN1	927	1
62.213	0	62214	MOON	DIN1	857	1
67.713	0	67714	FLOWER	DIN1	1012	1
72.213	0	72214	KITE	DIN1	1260	1
76.713	0	76714	SANDWICH	DIN1	1070	1
81.213	0	81214	LLAMA	DIN1	728	1
86.713	0	86714	ANCHOR	DIN1	786	1
91.213	0	91214	BENCH	DIN1	1012	1
96.713	0	96714	BOW	DIN1	855	1
102.213	0	102214	DOLPHIN	DIN1	Rien	0
107.713	0	107714	LOCK	DIN1	987	1
113.213	0	113214	CHIMNEY	DIN1	821	1
118.713	0	118714	FEATHER	DIN1	952	1
124.213	0	124214	JELLYFIS	DIN1	795	1
128.713	0	128714	LEOPARD	DIN1	1244	1
133.212	0	133213	CHEESE	DIN1	926	1
137.712	0	137713	STRAWBER	DIN1	950	1
143.212	0	143213	PINEAPPL	DIN1	969	1
148.712	0	148713	ONION	DIN1	964	1
153.212	0	153213	rugbybal	DIN1	829	1
157.712	0	157713	TABLE	DIN1	983	1
162.212	0	162213	GRAPES	DIN1	1000	1
166.712	0	166713	ARROW	DIN1	873	1
172.212	0	172213	SALTSHAK	DIN1	812	1
176.712	0	176713	TENNISRA	DIN1	837	1
182.212	0	182213	APPLE	DIN1	Rien	0
187.712	0	187713	PALMTREE	DIN1	1002	1
192.212	0	192213	LIGHTBUL	DIN1	900	1
196.712	0	196713	SPIDER	DIN1	917	1
202.212	0	202213	RHINOCER	DIN1	Rien	0
206.712	0	206713	AXE	DIN1	984	1
211.212	0	211213	TELEVISI	DIN1	1074	1
215.712	0	215713	ALLIGATO	DIN1	1020	1
221.212	0	221213	BALL	DIN1	974	1
226.712	0	226713	WELL	DIN1	953	1
231.212	0	231213	LADDER	DIN1	1010	1
236.712	0	236713	PLUG	DIN1	949	1
241.212	0	241213	RING	DIN1	974	1
245.712	0	245713	MOTORCYC	DIN1	1079	1
251.211	0	251212	THUMB	DIN1	794	1
256.711	0	256712	BELT	DIN1	860	1
262.211	0	262212	LEAF	DIN1	799	1
267.711	0	267712	CACTUS	DIN1	985	1
272.211	0	272212	LAMP	DIN1	1178	1
276.711	0	276712	RAKE	DIN1	868	1
281.211	0	281212	CRAB	DIN1	893	1
285.711	0	285712	HAT	DIN1	854	1
291.211	0	291212	TOMATO	DIN1	897	1
295.711	0	295712	GARBAGEC	DIN1	1578	1
301.211	0	301212	BOOT	DIN1	981	1
306.711	0	306712	CLOWN	DIN1	975	1
312.211	0	312212	BARREL	DIN1	778	1
317.711	0	317712	CAKE	DIN1	805	1
322.211	0	322212	SOCK	DIN1	822	1
326.711	0	326712	SUITCASE	DIN1	1095	1
332.211	0	332212	TOTEMPOL	DIN1	849	1
337.711	0	337712	FLAG	DIN1	Rien	0
342.211	0	342212	BALLOON	DIN1	885	1
346.711	0	346712	DINOSAUR	DIN1	791	1
352.211	0	352212	CROWN	DIN1	713	1
357.711	0	357712	BED	DIN1	Rien	0
362.211	0	362212	STARFISH	DIN1	942	1
367.71	0	367711	SHARK	DIN1	775	1
373.21	0	373211	SCORPION	DIN1	882	1
378.71	0	378711	RABBIT	DIN1	885	1
383.21	0	383211	DRESS	DIN1	998	1
387.71	0	387711	YOYO	DIN1	936	1
392.21	0	392211	PEAR	DIN1	Rien	0
396.71	0	396711	HOUSE	DIN1	Rien	0
401.21	0	401211	LADYBUG	DIN1	963	1
