onset	duration	sample	stimuli	name	response_time	value
5.57	0	5571	PARACHUT	DIN1	947	1
11.07	0	11071	RULER	DIN1	753	1
16.57	0	16571	FISH	DIN1	555	1
21.07	0	21071	TENTE	DIN1	885	1
25.57	0	25571	TURTLE	DIN1	1086	1
31.07	0	31071	FOX	DIN1	785	1
36.57	0	36571	BANANA	DIN1	876	1
41.07	0	41071	EAR	DIN1	853	1
45.57	0	45571	UMBRELLA	DIN1	1254	1
51.07	0	51071	LEG	DIN1	777	1
56.57	0	56571	frenchcr	DIN1	652	1
61.07	0	61071	MOON	DIN1	677	1
66.57	0	66571	FLOWER	DIN1	798	1
71.07	0	71071	KITE	DIN1	824	1
75.57	0	75571	SANDWICH	DIN1	890	1
80.069	0	80070	LLAMA	DIN1	691	1
84.569	0	84570	ANCHOR	DIN1	716	1
90.068	0	90069	BENCH	DIN1	759	1
95.568	0	95569	BOW	DIN1	794	1
101.068	0	101069	DOLPHIN	DIN1	684	1
106.568	0	106569	LOCK	DIN1	671	1
111.068	0	111069	CHIMNEY	DIN1	656	1
116.568	0	116569	FEATHER	DIN1	651	1
121.068	0	121069	JELLYFIS	DIN1	780	1
125.568	0	125569	LEOPARD	DIN1	941	1
131.068	0	131069	CHEESE	DIN1	735	1
136.568	0	136569	STRAWBER	DIN1	642	1
141.068	0	141069	PINEAPPL	DIN1	716	1
146.568	0	146569	ONION	DIN1	670	1
152.068	0	152069	rugbybal	DIN1	705	1
156.568	0	156569	TABLE	DIN1	706	1
161.068	0	161069	GRAPES	DIN1	803	1
166.568	0	166569	ARROW	DIN1	782	1
172.067	0	172068	SALTSHAK	DIN1	761	1
177.567	0	177568	TENNISRA	DIN1	698	1
182.067	0	182068	APPLE	DIN1	828	1
187.567	0	187568	PALMTREE	DIN1	654	1
192.067	0	192068	LIGHTBUL	DIN1	792	1
196.567	0	196568	SPIDER	DIN1	666	1
202.067	0	202068	RHINOCER	DIN1	964	1
207.567	0	207568	AXE	DIN1	751	1
213.067	0	213068	TELEVISI	DIN1	857	1
217.567	0	217568	ALLIGATO	DIN1	1059	1
222.066	0	222067	BALL	DIN1	772	1
227.567	0	227568	WELL	DIN1	759	1
233.066	0	233067	LADDER	DIN1	633	1
238.566	0	238567	PLUG	DIN1	755	1
243.066	0	243067	RING	DIN1	916	1
247.566	0	247567	MOTORCYC	DIN1	774	1
252.066	0	252067	THUMB	DIN1	743	1
257.565	0	257566	BELT	DIN1	898	1
262.065	0	262066	LEAF	DIN1	852	1
266.565	0	266566	CACTUS	DIN1	709	1
272.065	0	272066	LAMP	DIN1	807	1
276.565	0	276566	RAKE	DIN1	817	1
281.065	0	281066	CRAB	DIN1	674	1
286.565	0	286566	HAT	DIN1	1012	1
292.065	0	292066	TOMATO	DIN1	983	1
296.565	0	296566	GARBAGEC	DIN1	1696	1
301.065	0	301066	BOOT	DIN1	954	1
305.565	0	305566	CLOWN	DIN1	1267	1
310.065	0	310066	BARREL	DIN1	804	1
315.565	0	315566	CAKE	DIN1	671	1
320.065	0	320066	SOCK	DIN1	784	1
325.565	0	325566	SUITCASE	DIN1	883	1
331.065	0	331066	TOTEMPOL	DIN1	749	1
335.565	0	335566	FLAG	DIN1	703	1
340.065	0	340066	BALLOON	DIN1	576	1
344.565	0	344566	DINOSAUR	DIN1	666	1
350.065	0	350066	CROWN	DIN1	731	1
355.564	0	355565	BED	DIN1	1206	1
360.063	0	360064	STARFISH	DIN1	695	1
365.564	0	365565	SHARK	DIN1	562	1
371.063	0	371064	SCORPION	DIN1	628	1
376.563	0	376564	RABBIT	DIN1	983	1
382.063	0	382064	DRESS	DIN1	682	1
387.563	0	387564	YOYO	DIN1	1133	1
392.063	0	392064	PEAR	DIN1	Rien	0
396.563	0	396564	HOUSE	DIN1	670	1
401.063	0	401064	LADYBUG	DIN1	640	1
