onset	duration	sample	stimuli	name	response_time	value
7.62	0	7621	PARACHUT	DIN1	828	1
13.12	0	13121	RULER	DIN1	895	1
17.62	0	17621	FISH	DIN1	784	1
22.12	0	22121	TENTE	DIN1	889	1
26.62	0	26621	TURTLE	DIN1	1195	1
32.119	0	32120	FOX	DIN1	925	1
37.62	0	37621	BANANA	DIN1	1071	1
42.12	0	42121	EAR	DIN1	1025	1
47.62	0	47621	UMBRELLA	DIN1	1651	1
52.12	0	52121	LEG	DIN1	949	1
56.62	0	56621	frenchcr	DIN1	950	1
61.12	0	61121	MOON	DIN1	1120	1
65.62	0	65621	FLOWER	DIN1	1210	1
70.12	0	70121	KITE	DIN1	1362	1
74.62	0	74621	SANDWICH	DIN1	1107	1
80.12	0	80121	LLAMA	DIN1	822	1
84.62	0	84621	ANCHOR	DIN1	895	1
89.12	0	89121	BENCH	DIN1	817	1
94.62	0	94621	BOW	DIN1	836	1
99.12	0	99121	DOLPHIN	DIN1	1564	1
104.619	0	104620	LOCK	DIN1	767	1
110.12	0	110121	CHIMNEY	DIN1	873	1
115.619	0	115620	FEATHER	DIN1	796	1
120.119	0	120120	JELLYFIS	DIN1	806	1
124.619	0	124620	LEOPARD	DIN1	1407	1
130.119	0	130120	CHEESE	DIN1	802	1
134.619	0	134620	STRAWBER	DIN1	804	1
139.119	0	139120	PINEAPPL	DIN1	820	1
144.619	0	144620	ONION	DIN1	815	1
149.119	0	149120	rugbybal	DIN1	944	1
153.619	0	153620	TABLE	DIN1	825	1
158.119	0	158120	GRAPES	DIN1	1227	1
163.619	0	163620	ARROW	DIN1	829	1
168.119	0	168120	SALTSHAK	DIN1	878	1
173.619	0	173620	TENNISRA	DIN1	921	1
178.119	0	178120	APPLE	DIN1	962	1
183.619	0	183620	PALMTREE	DIN1	973	1
189.119	0	189120	LIGHTBUL	DIN1	Rien	0
194.619	0	194620	SPIDER	DIN1	827	1
199.119	0	199120	RHINOCER	DIN1	995	1
203.619	0	203620	AXE	DIN1	1148	1
208.119	0	208120	TELEVISI	DIN1	Rien	0
213.619	0	213620	ALLIGATO	DIN1	825	1
218.118	0	218119	BALL	DIN1	810	1
223.619	0	223620	WELL	DIN1	1173	1
228.118	0	228119	LADDER	DIN1	790	1
233.618	0	233619	PLUG	DIN1	1008	1
238.118	0	238119	RING	DIN1	1170	1
242.618	0	242619	MOTORCYC	DIN1	Rien	0
248.118	0	248119	THUMB	DIN1	838	1
252.618	0	252619	BELT	DIN1	887	1
258.118	0	258119	LEAF	DIN1	994	1
262.618	0	262619	CACTUS	DIN1	795	1
267.118	0	267119	LAMP	DIN1	860	1
272.618	0	272619	RAKE	DIN1	878	1
278.118	0	278119	CRAB	DIN1	793	1
283.618	0	283619	HAT	DIN1	932	1
288.118	0	288119	TOMATO	DIN1	1445	1
292.618	0	292619	GARBAGEC	DIN1	Rien	0
298.118	0	298119	BOOT	DIN1	1033	1
302.618	0	302619	CLOWN	DIN1	1130	1
307.118	0	307119	BARREL	DIN1	1795	1
311.618	0	311619	CAKE	DIN1	997	1
317.118	0	317119	SOCK	DIN1	904	1
322.618	0	322619	SUITCASE	DIN1	1066	1
328.118	0	328119	TOTEMPOL	DIN1	780	1
333.618	0	333619	FLAG	DIN1	887	1
339.117	0	339118	BALLOON	DIN1	794	1
343.617	0	343618	DINOSAUR	DIN1	875	1
349.117	0	349118	CROWN	DIN1	846	1
354.617	0	354618	BED	DIN1	977	1
360.117	0	360118	STARFISH	DIN1	939	1
365.617	0	365618	SHARK	DIN1	853	1
371.117	0	371118	SCORPION	DIN1	744	1
376.617	0	376618	RABBIT	DIN1	890	1
382.117	0	382118	DRESS	DIN1	885	1
387.617	0	387618	YOYO	DIN1	887	1
392.117	0	392118	PEAR	DIN1	905	1
397.617	0	397618	HOUSE	DIN1	1107	1
402.117	0	402118	LADYBUG	DIN1	1132	1
