onset	duration	sample	stimuli	name	response_time	value
7.197	0	7198	 horse.wav	DIN1	1478	1
13.197	0	13198	 bicycle.wav	DIN1	1923	1
19.197	0	19198	 fire.wav	DIN1	Rien	0
24.196	0	24197	 canary.wav	DIN1	1773	1
30.196	0	30197	 car.wav	DIN1	Rien	0
36.196	0	36197	 chair.wav	DIN1	2494	0
41.196	0	41197	 clearingthroat.wav	DIN1	1786	1
47.196	0	47197	 coin.wav	DIN1	1860	1
53.196	0	53197	 cricket.wav	DIN1	2044	1
59.196	0	59197	 cutlery.wav	DIN1	2513	1
65.196	0	65197	 donkey.wav	DIN1	2851	1
71.196	0	71197	 drum.wav	DIN1	1745	1
76.196	0	76197	 elephant.wav	DIN1	Rien	0
82.196	0	82197	 whistlehuman.wav	DIN1	1731	1
88.196	0	88197	 firetruck.wav	DIN1	2446	1
94.196	0	94197	 fly.wav	DIN1	1496	1
100.195	0	100196	 wind.wav	DIN1	2337	1
105.195	0	105196	 gong.wav	DIN1	1691	1
111.195	0	111196	 guitar.wav	DIN1	1838	1
116.194	0	116195	 budgie.wav	DIN1	Rien	0
121.194	0	121195	 laugh.wav	DIN1	1930	1
127.194	0	127195	 machinegun.wav	DIN1	2469	1
133.194	0	133195	 match.wav	DIN1	2905	1
139.194	0	139195	 mosquitos.wav	DIN1	1705	1
145.194	0	145195	 burp.wav	DIN1	1983	1
151.194	0	151195	 owl.wav	DIN1	2066	1
157.194	0	157195	 parrot.wav	DIN1	Rien	0
163.193	0	163194	 phone.wav	DIN1	1748	1
169.194	0	169195	 pig.wav	DIN1	Rien	0
174.194	0	174195	 plane.wav	DIN1	Rien	0
180.194	0	180195	 rain.wav	DIN1	1514	1
185.193	0	185194	 rooster.wav	DIN1	1581	1
190.193	0	190194	 sheep.wav	DIN1	1557	1
195.194	0	195195	 snore.wav	DIN1	2194	1
200.193	0	200194	 toilet.wav	DIN1	1728	1
205.193	0	205194	 trumpet.wav	DIN1	1968	1
211.192	0	211193	 vacuum.wav	DIN1	1906	0
216.193	0	216194	 whip.wav	DIN1	Rien	0
221.193	0	221194	 sneeze.wav	DIN1	1907	1
226.191	0	226192	 windchimes.wav	DIN1	1846	1
232.192	0	232193	 yawn.wav	DIN1	1735	1
238.192	0	238193	 wolf.wav	DIN1	1678	1
243.191	0	243192	 chicken.wav	DIN1	2589	1
248.192	0	248193	 whistle.wav	DIN1	Rien	0
253.192	0	253193	 waterbubbling.wav	DIN1	2493	1
258.19	0	258191	 turkey.wav	DIN1	Rien	0
263.191	0	263192	 train.wav	DIN1	Rien	0
269.191	0	269192	 tambourine.wav	DIN1	Rien	0
274.191	0	274192	 noisyminer.wav	DIN1	Rien	0
280.191	0	280192	 saxophone.wav	DIN1	Rien	0
285.191	0	285192	 river.wav	DIN1	1824	1
290.191	0	290192	 radio.wav	DIN1	1887	1
295.191	0	295192	 cat.wav	DIN1	1584	1
300.191	0	300192	 piano.wav	DIN1	1825	1
305.19	0	305191	 pen.wav	DIN1	Rien	0
311.19	0	311191	 paper.wav	DIN1	1988	1
316.191	0	316192	 ocean.wav	DIN1	Rien	0
322.19	0	322191	 musicbox.wav	DIN1	1454	1
327.19	0	327191	 monkey.wav	DIN1	2311	1
332.19	0	332191	 maracas.wav	DIN1	2092	1
338.19	0	338191	 lion.wav	DIN1	Rien	0
343.189	0	343190	 baby.wav	DIN1	2400	1
348.189	0	348190	 helicopter.wav	DIN1	1509	1
354.189	0	354190	 bee.wav	DIN1	2504	1
360.189	0	360190	 gargle.wav	DIN1	1627	1
366.189	0	366190	 footsteps.wav	DIN1	2860	0
371.189	0	371190	 flute.wav	DIN1	1429	1
376.188	0	376189	 firealarm.wav	DIN1	1447	1
381.19	0	381191	 duck.wav	DIN1	Rien	0
387.189	0	387190	 door.wav	DIN1	Rien	0
392.188	0	392189	 dog.wav	DIN1	1509	1
397.189	0	397190	 crow.wav	DIN1	1891	1
402.189	0	402190	 cow.wav	DIN1	1750	1
407.189	0	407190	 clock.wav	DIN1	2102	1
413.189	0	413190	 pigeon.wav	DIN1	1701	1
419.188	0	419189	 cannon.wav	DIN1	Rien	0
424.188	0	424189	 goose.wav	DIN1	Rien	0
430.189	0	430190	 frog.wav	DIN1	1527	1
436.188	0	436189	 broom.wav	DIN1	1582	1
441.186	0	441187	 kookaburra.wav	DIN1	Rien	0
