onset	duration	sample	stimuli	name	response_time	value
10.655	0	10656	PARACHUT	DIN1	1205	1
15.155	0	15156	RULER	DIN1	950	1
20.655	0	20656	FISH	DIN1	1201	1
25.155	0	25156	TENTE	DIN1	1290	1
30.655	0	30656	TURTLE	DIN1	684	1
36.155	0	36156	FOX	DIN1	1167	1
41.655	0	41656	BANANA	DIN1	1354	1
46.155	0	46156	EAR	DIN1	859	1
51.655	0	51656	UMBRELLA	DIN1	2022	1
57.155	0	57156	LEG	DIN1	1265	1
62.655	0	62656	frenchcr	DIN1	1282	1
68.155	0	68156	MOON	DIN1	845	1
72.655	0	72656	FLOWER	DIN1	902	1
78.155	0	78156	KITE	DIN1	1425	1
82.655	0	82656	SANDWICH	DIN1	1075	1
88.154	0	88155	LLAMA	DIN1	909	1
93.654	0	93655	ANCHOR	DIN1	1728	1
98.154	0	98155	BENCH	DIN1	737	1
102.654	0	102655	BOW	DIN1	890	1
108.154	0	108155	DOLPHIN	DIN1	1133	1
112.654	0	112655	LOCK	DIN1	1414	1
118.154	0	118155	CHIMNEY	DIN1	1129	1
123.654	0	123655	FEATHER	DIN1	1196	1
129.154	0	129155	JELLYFIS	DIN1	1141	1
134.654	0	134655	LEOPARD	DIN1	1600	1
139.154	0	139155	CHEESE	DIN1	1265	1
143.654	0	143655	STRAWBER	DIN1	1091	1
148.154	0	148155	PINEAPPL	DIN1	1284	1
153.654	0	153655	ONION	DIN1	1319	1
158.154	0	158155	rugbybal	DIN1	1200	1
162.654	0	162655	TABLE	DIN1	1026	1
168.154	0	168155	GRAPES	DIN1	1348	1
173.654	0	173655	ARROW	DIN1	1182	1
178.154	0	178155	SALTSHAK	DIN1	1207	1
183.654	0	183655	TENNISRA	DIN1	1250	1
189.153	0	189154	APPLE	DIN1	1301	1
194.654	0	194655	PALMTREE	DIN1	Rien	0
199.153	0	199154	LIGHTBUL	DIN1	1368	1
203.653	0	203654	SPIDER	DIN1	1010	1
208.153	0	208154	RHINOCER	DIN1	Rien	0
212.653	0	212654	AXE	DIN1	1013	1
217.153	0	217154	TELEVISI	DIN1	1118	1
221.653	0	221654	ALLIGATO	DIN1	Rien	0
226.153	0	226154	BALL	DIN1	1185	1
231.653	0	231654	WELL	DIN1	1219	1
236.153	0	236154	LADDER	DIN1	1164	1
240.653	0	240654	PLUG	DIN1	1214	1
246.153	0	246154	RING	DIN1	Rien	0
250.653	0	250654	MOTORCYC	DIN1	1690	1
255.153	0	255154	THUMB	DIN1	1212	1
260.653	0	260654	BELT	DIN1	1190	1
265.153	0	265154	LEAF	DIN1	Rien	0
269.653	0	269654	CACTUS	DIN1	960	1
274.153	0	274154	LAMP	DIN1	1234	1
279.653	0	279654	RAKE	DIN1	1157	1
284.153	0	284154	CRAB	DIN1	1054	1
288.653	0	288654	HAT	DIN1	855	1
294.153	0	294154	TOMATO	DIN1	1609	1
299.652	0	299653	GARBAGEC	DIN1	1476	1
305.153	0	305154	BOOT	DIN1	839	1
309.652	0	309653	CLOWN	DIN1	728	1
315.152	0	315153	BARREL	DIN1	1275	1
319.652	0	319653	CAKE	DIN1	684	1
325.152	0	325153	SOCK	DIN1	926	1
330.652	0	330653	SUITCASE	DIN1	1177	1
335.152	0	335153	TOTEMPOL	DIN1	802	1
339.652	0	339653	FLAG	DIN1	1067	1
344.152	0	344153	BALLOON	DIN1	1149	1
349.652	0	349653	DINOSAUR	DIN1	1423	1
355.152	0	355153	CROWN	DIN1	730	1
360.652	0	360653	BED	DIN1	Rien	0
366.152	0	366153	STARFISH	DIN1	1039	1
371.652	0	371653	SHARK	DIN1	1010	1
376.152	0	376153	SCORPION	DIN1	1291	1
381.652	0	381653	RABBIT	DIN1	1030	1
386.152	0	386153	DRESS	DIN1	967	1
391.652	0	391653	YOYO	DIN1	1177	1
396.152	0	396153	PEAR	DIN1	1946	1
401.652	0	401653	HOUSE	DIN1	Rien	0
406.152	0	406153	LADYBUG	DIN1	1054	1
