onset	duration	sample	stimuli	name	response_time	value
6.341	0	6342	ALLIGATO	DIN1	559	1
11.841	0	11842	APPLE	DIN1	713	1
17.341	0	17342	ARM	DIN1	660	1
22.841	0	22842	Scrambled	DIN1	-1	1
27.341	0	27342	TELEVISI	DIN1	912	1
31.841	0	31842	Scrambled	DIN1	-1	1
36.341	0	36342	BEAR	DIN1	1049	1
40.841	0	40842	BED	DIN1	907	1
46.341	0	46342	BELL	DIN1	870	1
50.841	0	50842	BENCH	DIN1	913	1
55.341	0	55342	Scrambled	DIN1	-1	1
60.841	0	60842	BRAIN	DIN1	1168	1
65.34	0	65341	Scrambled	DIN1	-1	1
69.841	0	69842	CACTUS	DIN1	991	1
74.341	0	74342	CATERPIL	DIN1	984	1
78.841	0	78842	Scrambled	DIN1	-1	1
84.341	0	84342	Scrambled	DIN1	-1	1
89.841	0	89842	DINOSAUR	DIN1	1140	1
95.341	0	95342	DOLPHIN	DIN1	785	1
99.841	0	99842	EAR	DIN1	941	1
105.341	0	105342	LADDER	DIN1	1198	1
109.841	0	109842	Scrambled	DIN1	-1	1
115.34	0	115341	Scrambled	DIN1	-1	1
120.84	0	120841	Scrambled	DIN1	-1	1
125.34	0	125341	FOOT	DIN1	807	1
130.84	0	130841	FOX	DIN1	Rien	0
136.34	0	136341	GARBAGEC	DIN1	773	1
140.84	0	140841	Scrambled	DIN1	-1	1
145.34	0	145341	HAMMER	DIN1	1094	1
149.84	0	149841	TURTLE	DIN1	921	1
155.34	0	155341	Scrambled	DIN1	-1	1
159.84	0	159841	HIPPOPOT	DIN1	2391	1
164.34	0	164341	HOUSE	DIN1	971	1
168.84	0	168841	IGLOO	DIN1	989	1
173.34	0	173341	JELLYFIS	DIN1	942	1
178.84	0	178841	KANGAROO	DIN1	1533	1
184.34	0	184341	EYE	DIN1	829	1
189.84	0	189841	Scrambled	DIN1	-1	1
195.34	0	195341	LAMP	DIN1	1123	1
199.84	0	199841	Scrambled	DIN1	-1	1
204.34	0	204341	WHALE	DIN1	1222	1
208.84	0	208841	Scrambled	DIN1	-1	1
213.34	0	213341	MOTORCYC	DIN1	761	1
217.839	0	217840	MOUNTAIN	DIN1	1090	1
222.339	0	222340	MOUSE	DIN1	881	1
227.84	0	227841	MUSHROOM	DIN1	919	1
232.339	0	232340	NOSE	DIN1	704	1
236.839	0	236840	Scrambled	DIN1	-1	1
242.339	0	242340	PANDA	DIN1	1131	1
246.839	0	246840	PANTS	DIN1	710	1
251.339	0	251340	PYRAMID	DIN1	1144	1
256.839	0	256840	RABBIT	DIN1	686	1
262.339	0	262340	Scrambled	DIN1	-1	1
266.839	0	266840	ROPE	DIN1	789	1
272.339	0	272340	Scrambled	DIN1	-1	1
276.839	0	276840	SCISSORS	DIN1	2166	1
282.339	0	282340	SCORPION	DIN1	1656	1
286.839	0	286840	Scrambled	DIN1	-1	1
292.339	0	292340	SHARK	DIN1	975	1
297.839	0	297840	SKELETON	DIN1	844	1
302.339	0	302340	SNAIL	DIN1	1243	1
307.839	0	307840	SNAKE	DIN1	780	1
313.339	0	313340	SPIDER	DIN1	820	1
318.839	0	318840	Scrambled	DIN1	-1	1
324.339	0	324340	STARFISH	DIN1	1024	1
329.838	0	329839	Scrambled	DIN1	-1	1
334.338	0	334339	SUITCASE	DIN1	1042	1
339.838	0	339839	SWING	DIN1	1100	1
345.338	0	345339	TABLE	DIN1	786	1
350.838	0	350839	SEAHORSE	DIN1	1394	1
356.338	0	356339	TENNISRA	DIN1	741	1
361.838	0	361839	THUMB	DIN1	1043	1
367.338	0	367339	Scrambled	DIN1	-1	1
372.838	0	372839	TRACTOR	DIN1	960	1
377.338	0	377339	Scrambled	DIN1	-1	1
382.838	0	382839	HAND	DIN1	661	1
387.338	0	387339	VASE	DIN1	918	1
391.838	0	391839	LIZARD	DIN1	Rien	0
396.338	0	396339	WINDMILL	DIN1	1147	1
401.838	0	401839	ZEBRA	DIN1	949	1
406.338	0	406339	Scrambled	DIN1	-1	1
410.838	0	410839	Scrambled	DIN1	-1	1
416.338	0	416339	LEG	DIN1	1127	1
421.838	0	421839	Scrambled	DIN1	-1	1
427.338	0	427339	BUTTERFL	DIN1	717	1
431.838	0	431839	Scrambled	DIN1	-1	1
437.338	0	437339	Scrambled	DIN1	-1	1
442.838	0	442839	LLAMA	DIN1	2394	1
448.337	0	448338	Scrambled	DIN1	-1	1
452.837	0	452838	BALLOON	DIN1	773	1
457.337	0	457338	TIGER	DIN1	987	1
462.837	0	462838	Scrambled	DIN1	-1	1
468.337	0	468338	TREE	DIN1	860	1
473.837	0	473838	LADYBUG	DIN1	706	1
479.337	0	479338	AXE	DIN1	1062	1
483.837	0	483838	BINOCULA	DIN1	1029	1
488.337	0	488338	Scrambled	DIN1	-1	1
492.837	0	492838	Scrambled	DIN1	-1	1
498.337	0	498338	STRAWBER	DIN1	990	1
502.837	0	502838	PALMTREE	DIN1	1066	1
508.337	0	508338	Scrambled	DIN1	-1	1
512.837	0	512838	Scrambled	DIN1	-1	1
517.337	0	517338	Scrambled	DIN1	-1	1
522.837	0	522838	ROCKET	DIN1	855	1
527.337	0	527338	FEATHER	DIN1	728	1
532.837	0	532838	Scrambled	DIN1	-1	1
537.337	0	537338	GIRAFFE	DIN1	921	1
541.837	0	541838	Scrambled	DIN1	-1	1
546.337	0	546338	Scrambled	DIN1	-1	1
551.837	0	551838	CHIMNEY	DIN1	Rien	0
556.337	0	556338	Scrambled	DIN1	-1	1
561.836	0	561837	SQUIRREL	DIN1	947	1
567.336	0	567337	Scrambled	DIN1	-1	1
571.836	0	571837	BALL	DIN1	1906	1
576.336	0	576337	CRAB	DIN1	837	1
580.836	0	580837	FISH	DIN1	689	1
586.336	0	586337	FLAG	DIN1	838	1
590.836	0	590837	Scrambled	DIN1	-1	1
596.336	0	596337	HANGER	DIN1	729	1
601.836	0	601837	rugbybal	DIN1	1232	1
