name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
E1	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E2	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E3	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E4	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E5	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E6	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E7	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E8	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E9	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E10	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E11	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E12	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E13	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E14	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E15	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E16	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E17	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E18	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E19	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E20	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E21	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E22	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E23	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E24	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E25	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E26	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E27	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E28	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E29	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E30	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E31	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E32	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E33	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
E34	EEG	MICROV	1000	n/a	n/a	n/a	n/a	n/a	n/a	n/a
