onset	duration	sample	stimuli	name	response_time	value
6.558	0	6559	ALLIGATO	DIN1	935	1
11.058	0	11059	APPLE	DIN1	1181	1
15.558	0	15559	ARM	DIN1	887	1
21.058	0	21059	Scrambled	DIN1	-1	1
25.558	0	25559	TELEVISI	DIN1	890	1
30.058	0	30059	Scrambled	DIN1	-1	1
34.558	0	34559	BEAR	DIN1	793	1
39.058	0	39059	BED	DIN1	782	1
43.558	0	43559	BELL	DIN1	658	1
48.058	0	48059	BENCH	DIN1	792	1
53.558	0	53559	Scrambled	DIN1	-1	1
58.058	0	58059	BRAIN	DIN1	1260	1
62.558	0	62559	Scrambled	DIN1	-1	1
67.058	0	67059	CACTUS	DIN1	845	1
72.558	0	72559	CATERPIL	DIN1	881	1
77.058	0	77059	Scrambled	DIN1	-1	1
82.557	0	82558	Scrambled	DIN1	-1	1
87.057	0	87058	DINOSAUR	DIN1	1014	1
92.558	0	92559	DOLPHIN	DIN1	843	1
98.057	0	98058	EAR	DIN1	749	1
103.557	0	103558	LADDER	DIN1	838	1
109.057	0	109058	Scrambled	DIN1	-1	1
114.557	0	114558	Scrambled	DIN1	-1	1
120.057	0	120058	Scrambled	DIN1	-1	1
125.557	0	125558	FOOT	DIN1	725	1
130.056	0	130057	FOX	DIN1	963	1
134.557	0	134558	GARBAGEC	DIN1	709	1
140.057	0	140058	Scrambled	DIN1	-1	1
144.557	0	144558	HAMMER	DIN1	936	1
150.057	0	150058	TURTLE	DIN1	811	1
155.557	0	155558	Scrambled	DIN1	-1	1
161.057	0	161058	HIPPOPOT	DIN1	3964	1
166.557	0	166558	HOUSE	DIN1	1174	1
171.057	0	171058	IGLOO	DIN1	916	1
175.557	0	175558	JELLYFIS	DIN1	Rien	1
181.057	0	181058	KANGAROO	DIN1	960	1
186.557	0	186558	EYE	DIN1	855	1
192.057	0	192058	Scrambled	DIN1	-1	1
196.557	0	196558	LAMP	DIN1	852	1
201.056	0	201057	Scrambled	DIN1	-1	1
206.556	0	206557	WHALE	DIN1	1413	1
211.056	0	211057	Scrambled	DIN1	-1	1
216.556	0	216557	MOTORCYC	DIN1	742	1
221.056	0	221057	MOUNTAIN	DIN1	3295	1
226.556	0	226557	MOUSE	DIN1	880	1
231.056	0	231057	MUSHROOM	DIN1	809	1
235.556	0	235557	NOSE	DIN1	719	1
240.056	0	240057	Scrambled	DIN1	-1	1
245.556	0	245557	PANDA	DIN1	1849	1
251.056	0	251057	PANTS	DIN1	910	1
255.556	0	255557	PYRAMID	DIN1	965	1
261.055	0	261056	RABBIT	DIN1	720	1
265.556	0	265557	Scrambled	DIN1	-1	1
271.057	0	271058	ROPE	DIN1	781	1
276.556	0	276557	Scrambled	DIN1	-1	1
282.056	0	282057	SCISSORS	DIN1	672	1
287.556	0	287557	SCORPION	DIN1	764	1
293.056	0	293057	Scrambled	DIN1	-1	1
298.556	0	298557	SHARK	DIN1	956	1
304.057	0	304058	SKELETON	DIN1	989	1
308.556	0	308557	SNAIL	DIN1	957	1
314.055	0	314056	SNAKE	DIN1	717	1
318.557	0	318558	SPIDER	DIN1	954	1
324.056	0	324057	Scrambled	DIN1	-1	1
329.555	0	329556	STARFISH	DIN1	1577	1
335.056	0	335057	Scrambled	DIN1	-1	1
340.556	0	340557	SUITCASE	DIN1	792	1
346.056	0	346057	SWING	DIN1	1511	1
350.556	0	350557	TABLE	DIN1	751	1
355.056	0	355057	SEAHORSE	DIN1	950	1
360.556	0	360557	TENNISRA	DIN1	830	1
