onset	duration	sample	stimuli	name	response_time	value
7.017	0	7018	PARACHUT	DIN1	1163	1
12.517	0	12518	RULER	DIN1	1030	1
18.017	0	18018	FISH	DIN1	712	1
22.517	0	22518	TENTE	DIN1	1529	1
28.017	0	28018	TURTLE	DIN1	1116	1
33.517	0	33518	FOX	DIN1	847	1
38.017	0	38018	BANANA	DIN1	1048	1
43.517	0	43518	EAR	DIN1	763	1
48.017	0	48018	UMBRELLA	DIN1	1771	1
52.517	0	52518	LEG	DIN1	764	1
58.017	0	58018	frenchcr	DIN1	879	1
62.517	0	62518	MOON	DIN1	848	1
68.017	0	68018	FLOWER	DIN1	859	1
72.517	0	72518	KITE	DIN1	1317	1
78.017	0	78018	SANDWICH	DIN1	855	1
82.517	0	82518	LLAMA	DIN1	985	1
87.017	0	87018	ANCHOR	DIN1	866	1
91.517	0	91518	BENCH	DIN1	Rien	0
97.016	0	97017	BOW	DIN1	838	1
102.516	0	102517	DOLPHIN	DIN1	720	1
107.016	0	107017	LOCK	DIN1	962	1
112.516	0	112517	CHIMNEY	DIN1	Rien	0
118.016	0	118017	FEATHER	DIN1	806	1
123.516	0	123517	JELLYFIS	DIN1	745	1
128.015	0	128016	LEOPARD	DIN1	Rien	0
132.516	0	132517	CHEESE	DIN1	708	1
138.016	0	138017	STRAWBER	DIN1	791	1
142.516	0	142517	PINEAPPL	DIN1	864	1
148.016	0	148017	ONION	DIN1	747	1
153.516	0	153517	rugbybal	DIN1	853	1
158.016	0	158017	TABLE	DIN1	950	1
162.516	0	162517	GRAPES	DIN1	767	1
168.016	0	168017	ARROW	DIN1	818	1
173.516	0	173517	SALTSHAK	DIN1	717	1
179.016	0	179017	TENNISRA	DIN1	960	1
184.516	0	184517	APPLE	DIN1	Rien	0
190.016	0	190017	PALMTREE	DIN1	1124	1
194.516	0	194517	LIGHTBUL	DIN1	1045	1
200.016	0	200017	SPIDER	DIN1	696	1
204.516	0	204517	RHINOCER	DIN1	1130	1
210.015	0	210016	AXE	DIN1	668	1
214.515	0	214516	TELEVISI	DIN1	949	1
220.015	0	220016	ALLIGATO	DIN1	607	1
224.515	0	224516	BALL	DIN1	705	1
229.015	0	229016	WELL	DIN1	746	1
234.515	0	234516	LADDER	DIN1	621	1
239.015	0	239016	PLUG	DIN1	646	1
243.515	0	243516	RING	DIN1	712	1
248.015	0	248016	MOTORCYC	DIN1	704	1
252.515	0	252516	THUMB	DIN1	698	1
258.015	0	258016	BELT	DIN1	789	1
262.515	0	262516	LEAF	DIN1	686	1
268.015	0	268016	CACTUS	DIN1	1225	1
272.515	0	272516	LAMP	DIN1	762	1
277.015	0	277016	RAKE	DIN1	740	1
282.515	0	282516	CRAB	DIN1	854	1
287.015	0	287016	HAT	DIN1	695	1
292.515	0	292516	TOMATO	DIN1	Rien	0
297.015	0	297016	GARBAGEC	DIN1	1691	1
302.515	0	302516	BOOT	DIN1	686	1
307.015	0	307016	CLOWN	DIN1	703	1
312.515	0	312516	BARREL	DIN1	833	1
317.015	0	317016	CAKE	DIN1	890	1
321.515	0	321516	SOCK	DIN1	1820	1
327.015	0	327016	SUITCASE	DIN1	1199	1
331.514	0	331515	TOTEMPOL	DIN1	712	1
337.014	0	337015	FLAG	DIN1	1651	1
341.514	0	341515	BALLOON	DIN1	868	1
347.014	0	347015	DINOSAUR	DIN1	774	1
351.514	0	351515	CROWN	DIN1	791	1
356.014	0	356015	BED	DIN1	Rien	0
360.514	0	360515	STARFISH	DIN1	811	1
366.014	0	366015	SHARK	DIN1	789	1
370.514	0	370515	SCORPION	DIN1	623	1
376.014	0	376015	RABBIT	DIN1	618	1
381.514	0	381515	DRESS	DIN1	651	1
386.014	0	386015	YOYO	DIN1	765	1
391.514	0	391515	PEAR	DIN1	703	1
396.014	0	396015	HOUSE	DIN1	Rien	0
401.514	0	401515	LADYBUG	DIN1	Rien	0
