onset	duration	sample	stimuli	name	response_time	value
5.836	0	5837	PARACHUT	DIN1	831	1
10.336	0	10337	RULER	DIN1	952	1
14.836	0	14837	FISH	DIN1	673	1
19.336	0	19337	TENTE	DIN1	675	1
23.835	0	23836	TURTLE	DIN1	788	1
29.335	0	29336	FOX	DIN1	871	1
34.835	0	34836	BANANA	DIN1	1009	1
40.335	0	40336	EAR	DIN1	819	1
44.835	0	44836	UMBRELLA	DIN1	917	1
49.335	0	49336	LEG	DIN1	758	1
53.835	0	53836	frenchcr	DIN1	824	1
59.335	0	59336	MOON	DIN1	843	1
64.834	0	64835	FLOWER	DIN1	901	1
69.335	0	69336	KITE	DIN1	1102	1
73.835	0	73836	SANDWICH	DIN1	1047	1
79.335	0	79336	LLAMA	DIN1	834	1
84.835	0	84836	ANCHOR	DIN1	837	1
90.335	0	90336	BENCH	DIN1	743	1
94.835	0	94836	BOW	DIN1	865	1
99.335	0	99336	DOLPHIN	DIN1	843	1
104.835	0	104836	LOCK	DIN1	740	1
109.335	0	109336	CHIMNEY	DIN1	766	1
114.835	0	114836	FEATHER	DIN1	720	1
120.335	0	120336	JELLYFIS	DIN1	755	1
125.835	0	125836	LEOPARD	DIN1	1326	1
131.335	0	131336	CHEESE	DIN1	808	1
136.834	0	136835	STRAWBER	DIN1	674	1
142.334	0	142335	PINEAPPL	DIN1	868	1
147.834	0	147835	ONION	DIN1	895	1
152.334	0	152335	rugbybal	DIN1	705	1
156.834	0	156835	TABLE	DIN1	1066	1
161.334	0	161335	GRAPES	DIN1	812	1
166.834	0	166835	ARROW	DIN1	727	1
172.334	0	172335	SALTSHAK	DIN1	760	1
177.834	0	177835	TENNISRA	DIN1	747	1
182.334	0	182335	APPLE	DIN1	Rien	0
187.834	0	187835	PALMTREE	DIN1	647	1
192.334	0	192335	LIGHTBUL	DIN1	Rien	0
196.834	0	196835	SPIDER	DIN1	714	1
201.334	0	201335	RHINOCER	DIN1	1179	1
206.834	0	206835	AXE	DIN1	893	1
211.334	0	211335	TELEVISI	DIN1	1455	1
215.834	0	215835	ALLIGATO	DIN1	856	1
221.334	0	221335	BALL	DIN1	731	1
225.834	0	225835	WELL	DIN1	788	1
230.334	0	230335	LADDER	DIN1	846	1
235.834	0	235835	PLUG	DIN1	751	1
241.334	0	241335	RING	DIN1	874	1
246.833	0	246834	MOTORCYC	DIN1	805	1
252.334	0	252335	THUMB	DIN1	680	1
256.833	0	256834	BELT	DIN1	705	1
261.333	0	261334	LEAF	DIN1	914	1
266.833	0	266834	CACTUS	DIN1	708	1
272.333	0	272334	LAMP	DIN1	791	1
276.833	0	276834	RAKE	DIN1	768	1
282.333	0	282334	CRAB	DIN1	747	1
287.833	0	287834	HAT	DIN1	782	1
292.333	0	292334	TOMATO	DIN1	839	1
297.833	0	297834	GARBAGEC	DIN1	Rien	0
302.333	0	302334	BOOT	DIN1	898	1
306.833	0	306834	CLOWN	DIN1	900	1
311.333	0	311334	BARREL	DIN1	1126	1
315.833	0	315834	CAKE	DIN1	1015	1
321.333	0	321334	SOCK	DIN1	946	1
326.833	0	326834	SUITCASE	DIN1	668	1
331.333	0	331334	TOTEMPOL	DIN1	789	1
336.833	0	336834	FLAG	DIN1	632	1
341.333	0	341334	BALLOON	DIN1	545	1
346.833	0	346834	DINOSAUR	DIN1	748	1
352.333	0	352334	CROWN	DIN1	686	1
356.833	0	356834	BED	DIN1	832	1
362.333	0	362334	STARFISH	DIN1	666	1
366.833	0	366834	SHARK	DIN1	803	1
372.333	0	372334	SCORPION	DIN1	782	1
376.832	0	376833	RABBIT	DIN1	1008	1
381.332	0	381333	DRESS	DIN1	825	1
385.833	0	385834	YOYO	DIN1	882	1
391.333	0	391334	PEAR	DIN1	725	1
396.833	0	396834	HOUSE	DIN1	Rien	0
401.333	0	401334	LADYBUG	DIN1	640	1
