onset	duration	sample	stimuli	name	response_time	value
6.043	0	6044	PARACHUT	DIN1	1512	1
10.543	0	10544	RULER	DIN1	1418	1
15.043	0	15044	FISH	DIN1	1420	1
19.543	0	19544	TENTE	DIN1	1701	1
25.043	0	25044	TURTLE	DIN1	1152	1
30.543	0	30544	FOX	DIN1	1778	1
35.043	0	35044	BANANA	DIN1	1652	1
40.543	0	40544	EAR	DIN1	1270	1
46.043	0	46044	UMBRELLA	DIN1	1536	1
51.543	0	51544	LEG	DIN1	1243	1
57.043	0	57044	frenchcr	DIN1	1221	1
62.543	0	62544	MOON	DIN1	1144	1
68.043	0	68044	FLOWER	DIN1	1243	1
72.543	0	72544	KITE	DIN1	1324	1
77.043	0	77044	SANDWICH	DIN1	1389	1
81.543	0	81544	LLAMA	DIN1	2423	1
86.043	0	86044	ANCHOR	DIN1	1064	1
90.543	0	90544	BENCH	DIN1	1249	1
96.043	0	96044	BOW	DIN1	1188	1
101.543	0	101544	DOLPHIN	DIN1	1127	1
106.043	0	106044	LOCK	DIN1	944	1
110.543	0	110544	CHIMNEY	DIN1	1152	1
115.043	0	115044	FEATHER	DIN1	1346	1
120.542	0	120543	JELLYFIS	DIN1	917	1
125.042	0	125043	LEOPARD	DIN1	1286	1
130.542	0	130543	CHEESE	DIN1	1409	1
135.042	0	135043	STRAWBER	DIN1	1170	1
140.542	0	140543	PINEAPPL	DIN1	1372	1
146.042	0	146043	ONION	DIN1	1031	1
151.542	0	151543	rugbybal	DIN1	1218	1
156.042	0	156043	TABLE	DIN1	1179	1
161.542	0	161543	GRAPES	DIN1	1373	1
167.042	0	167043	ARROW	DIN1	1609	1
172.542	0	172543	SALTSHAK	DIN1	1235	1
178.042	0	178043	TENNISRA	DIN1	1573	1
182.542	0	182543	APPLE	DIN1	1118	1
187.042	0	187043	PALMTREE	DIN1	1944	1
192.542	0	192543	LIGHTBUL	DIN1	1995	1
197.042	0	197043	SPIDER	DIN1	1068	1
201.542	0	201543	RHINOCER	DIN1	1645	1
207.042	0	207043	AXE	DIN1	1431	1
211.542	0	211543	TELEVISI	DIN1	1137	1
216.042	0	216043	ALLIGATO	DIN1	1106	1
221.542	0	221543	BALL	DIN1	1309	1
227.042	0	227043	WELL	DIN1	1439	1
231.541	0	231542	LADDER	DIN1	1409	1
236.041	0	236042	PLUG	DIN1	1091	1
240.541	0	240542	RING	DIN1	1443	1
245.041	0	245042	MOTORCYC	DIN1	1228	1
250.541	0	250542	THUMB	DIN1	1839	1
256.041	0	256042	BELT	DIN1	1274	1
260.541	0	260542	LEAF	DIN1	1355	1
265.041	0	265042	CACTUS	DIN1	1189	1
269.541	0	269542	LAMP	DIN1	Rien	0
274.041	0	274042	RAKE	DIN1	1151	1
279.541	0	279542	CRAB	DIN1	1193	1
284.041	0	284042	HAT	DIN1	1427	1
288.541	0	288542	TOMATO	DIN1	2373	1
293.041	0	293042	GARBAGEC	DIN1	Rien	0
298.541	0	298542	BOOT	DIN1	1649	1
304.041	0	304042	CLOWN	DIN1	1467	1
308.541	0	308542	BARREL	DIN1	1076	1
313.041	0	313042	CAKE	DIN1	1285	1
318.541	0	318542	SOCK	DIN1	1176	1
324.041	0	324042	SUITCASE	DIN1	1411	1
328.541	0	328542	TOTEMPOL	DIN1	1244	1
334.04	0	334041	FLAG	DIN1	999	1
339.541	0	339542	BALLOON	DIN1	1153	1
345.04	0	345041	DINOSAUR	DIN1	987	1
350.54	0	350541	CROWN	DIN1	1398	1
355.04	0	355041	BED	DIN1	1624	1
360.54	0	360541	STARFISH	DIN1	1370	1
366.04	0	366041	SHARK	DIN1	941	1
370.54	0	370541	SCORPION	DIN1	1414	1
375.04	0	375041	RABBIT	DIN1	1375	1
380.54	0	380541	DRESS	DIN1	1202	1
386.04	0	386041	YOYO	DIN1	1868	1
391.54	0	391541	PEAR	DIN1	1263	1
397.04	0	397041	HOUSE	DIN1	1162	1
401.54	0	401541	LADYBUG	DIN1	1274	1
