onset	duration	sample	stimuli	name	response_time	value
9.363	0	9364	PARACHUT	DIN1	1004	1
14.862	0	14863	RULER	DIN1	1238	1
20.362	0	20363	FISH	DIN1	761	1
25.862	0	25863	TENTE	DIN1	659	1
30.362	0	30363	TURTLE	DIN1	757	1
35.862	0	35863	FOX	DIN1	839	1
41.362	0	41363	BANANA	DIN1	1738	1
46.862	0	46863	EAR	DIN1	813	1
51.362	0	51363	UMBRELLA	DIN1	1117	1
55.862	0	55863	LEG	DIN1	647	1
61.362	0	61363	frenchcr	DIN1	834	1
66.862	0	66863	MOON	DIN1	836	1
71.362	0	71363	FLOWER	DIN1	1030	1
75.862	0	75863	KITE	DIN1	1063	1
80.362	0	80363	SANDWICH	DIN1	1176	1
85.862	0	85863	LLAMA	DIN1	834	1
91.362	0	91363	ANCHOR	DIN1	893	1
96.862	0	96863	BENCH	DIN1	832	1
101.362	0	101363	BOW	DIN1	1105	1
106.862	0	106863	DOLPHIN	DIN1	780	1
112.362	0	112363	LOCK	DIN1	750	1
116.862	0	116863	CHIMNEY	DIN1	943	1
121.362	0	121363	FEATHER	DIN1	1049	1
125.862	0	125863	JELLYFIS	DIN1	962	1
131.361	0	131362	LEOPARD	DIN1	917	1
136.861	0	136862	CHEESE	DIN1	720	1
142.361	0	142362	STRAWBER	DIN1	698	1
146.861	0	146862	PINEAPPL	DIN1	963	1
152.361	0	152362	ONION	DIN1	822	1
157.861	0	157862	rugbybal	DIN1	840	1
162.361	0	162362	TABLE	DIN1	698	1
167.861	0	167862	GRAPES	DIN1	700	1
173.361	0	173362	ARROW	DIN1	695	1
178.861	0	178862	SALTSHAK	DIN1	801	1
183.361	0	183362	TENNISRA	DIN1	906	1
188.861	0	188862	APPLE	DIN1	Rien	0
194.361	0	194362	PALMTREE	DIN1	727	1
198.861	0	198862	LIGHTBUL	DIN1	905	1
203.361	0	203362	SPIDER	DIN1	739	1
207.861	0	207862	RHINOCER	DIN1	852	1
213.361	0	213362	AXE	DIN1	655	1
217.861	0	217862	TELEVISI	DIN1	791	1
223.361	0	223362	ALLIGATO	DIN1	650	1
227.861	0	227862	BALL	DIN1	739	1
233.361	0	233362	WELL	DIN1	774	1
237.861	0	237862	LADDER	DIN1	695	1
243.36	0	243361	PLUG	DIN1	642	1
248.86	0	248861	RING	DIN1	692	1
254.36	0	254361	MOTORCYC	DIN1	2063	1
258.86	0	258861	THUMB	DIN1	808	1
263.36	0	263361	BELT	DIN1	673	1
267.86	0	267861	LEAF	DIN1	811	1
273.36	0	273361	CACTUS	DIN1	645	1
277.86	0	277861	LAMP	DIN1	750	1
282.36	0	282361	RAKE	DIN1	952	1
286.86	0	286861	CRAB	DIN1	681	1
292.36	0	292361	HAT	DIN1	636	1
297.86	0	297861	TOMATO	DIN1	807	1
303.36	0	303361	GARBAGEC	DIN1	849	1
308.86	0	308861	BOOT	DIN1	620	1
313.36	0	313361	CLOWN	DIN1	588	1
317.86	0	317861	BARREL	DIN1	790	1
322.36	0	322361	CAKE	DIN1	671	1
326.86	0	326861	SOCK	DIN1	681	1
331.36	0	331361	SUITCASE	DIN1	770	1
335.86	0	335861	TOTEMPOL	DIN1	748	1
340.36	0	340361	FLAG	DIN1	756	1
344.86	0	344861	BALLOON	DIN1	663	1
349.36	0	349361	DINOSAUR	DIN1	631	1
353.86	0	353861	CROWN	DIN1	664	1
359.359	0	359360	BED	DIN1	2331	1
363.859	0	363860	STARFISH	DIN1	725	1
369.359	0	369360	SHARK	DIN1	647	1
374.859	0	374860	SCORPION	DIN1	633	1
380.359	0	380360	RABBIT	DIN1	716	1
384.859	0	384860	DRESS	DIN1	661	1
390.359	0	390360	YOYO	DIN1	744	1
394.859	0	394860	PEAR	DIN1	1465	1
400.359	0	400360	HOUSE	DIN1	Rien	0
404.859	0	404860	LADYBUG	DIN1	630	1
