onset	duration	sample	stimuli	name	response_time	value
6.523	0	6524	 horse.wav	DIN1	1364	1
12.523	0	12524	 bicycle.wav	DIN1	1553	1
17.523	0	17524	 fire.wav	DIN1	1490	0
23.523	0	23524	 canary.wav	DIN1	1461	1
29.523	0	29524	 car.wav	DIN1	1760	1
34.523	0	34524	 chair.wav	DIN1	1892	0
39.523	0	39524	 clearingthroat.wav	DIN1	2014	1
45.523	0	45524	 coin.wav	DIN1	1821	1
50.524	0	50525	 cricket.wav	DIN1	1597	1
56.523	0	56524	 cutlery.wav	DIN1	2056	0
61.524	0	61525	 donkey.wav	DIN1	1874	1
66.524	0	66525	 drum.wav	DIN1	1769	1
72.524	0	72525	 elephant.wav	DIN1	1740	1
78.524	0	78525	 whistlehuman.wav	DIN1	1832	1
83.523	0	83524	 firetruck.wav	DIN1	1641	1
89.523	0	89524	 fly.wav	DIN1	2158	1
94.523	0	94524	 wind.wav	DIN1	1669	1
100.523	0	100524	 gong.wav	DIN1	1446	1
106.522	0	106523	 guitar.wav	DIN1	1646	1
111.523	0	111524	 budgie.wav	DIN1	Rien	0
116.523	0	116524	 laugh.wav	DIN1	1735	1
121.523	0	121524	 machinegun.wav	DIN1	1871	1
126.523	0	126524	 match.wav	DIN1	2129	1
132.523	0	132524	 mosquitos.wav	DIN1	Rien	0
137.523	0	137524	 burp.wav	DIN1	1656	0
142.523	0	142524	 owl.wav	DIN1	2173	1
148.523	0	148524	 parrot.wav	DIN1	Rien	0
153.523	0	153524	 phone.wav	DIN1	1756	1
158.523	0	158524	 pig.wav	DIN1	2366	1
164.523	0	164524	 plane.wav	DIN1	1829	1
170.523	0	170524	 rain.wav	DIN1	1769	1
175.523	0	175524	 rooster.wav	DIN1	Rien	0
180.523	0	180524	 sheep.wav	DIN1	1769	1
186.522	0	186523	 snore.wav	DIN1	2157	1
192.522	0	192523	 toilet.wav	DIN1	1628	1
198.522	0	198523	 trumpet.wav	DIN1	2061	1
204.522	0	204523	 vacuum.wav	DIN1	2164	1
209.522	0	209523	 whip.wav	DIN1	1957	1
214.522	0	214523	 sneeze.wav	DIN1	1634	1
220.522	0	220523	 windchimes.wav	DIN1	Rien	0
225.522	0	225523	 yawn.wav	DIN1	1631	1
230.522	0	230523	 wolf.wav	DIN1	1598	1
236.522	0	236523	 chicken.wav	DIN1	2385	1
241.522	0	241523	 whistle.wav	DIN1	Rien	0
246.522	0	246523	 waterbubbling.wav	DIN1	1955	1
252.522	0	252523	 turkey.wav	DIN1	Rien	0
258.522	0	258523	 train.wav	DIN1	2212	1
263.522	0	263523	 tambourine.wav	DIN1	Rien	0
269.522	0	269523	 noisyminer.wav	DIN1	2516	0
274.522	0	274523	 saxophone.wav	DIN1	Rien	0
280.522	0	280523	 river.wav	DIN1	1656	1
286.522	0	286523	 radio.wav	DIN1	Rien	0
291.522	0	291523	 cat.wav	DIN1	1716	1
297.522	0	297523	 piano.wav	DIN1	1773	1
302.522	0	302523	 pen.wav	DIN1	1942	1
307.521	0	307522	 paper.wav	DIN1	1921	1
312.521	0	312522	 ocean.wav	DIN1	Rien	0
317.521	0	317522	 musicbox.wav	DIN1	Rien	0
323.521	0	323522	 monkey.wav	DIN1	2413	1
329.521	0	329522	 maracas.wav	DIN1	Rien	0
335.521	0	335522	 lion.wav	DIN1	2227	1
341.521	0	341522	 baby.wav	DIN1	2080	1
347.521	0	347522	 helicopter.wav	DIN1	1646	1
352.522	0	352523	 bee.wav	DIN1	1829	1
357.521	0	357522	 gargle.wav	DIN1	1748	1
363.521	0	363522	 footsteps.wav	DIN1	2098	1
368.521	0	368522	 flute.wav	DIN1	1549	1
374.521	0	374522	 firealarm.wav	DIN1	2176	1
379.521	0	379522	 duck.wav	DIN1	2053	1
384.521	0	384522	 door.wav	DIN1	1643	1
390.522	0	390523	 dog.wav	DIN1	1566	1
396.521	0	396522	 crow.wav	DIN1	Rien	0
402.521	0	402522	 cow.wav	DIN1	1972	1
408.521	0	408522	 clock.wav	DIN1	1773	1
413.521	0	413522	 pigeon.wav	DIN1	2577	1
418.52	0	418521	 cannon.wav	DIN1	2293	1
424.521	0	424522	 goose.wav	DIN1	Rien	0
430.521	0	430522	 frog.wav	DIN1	1682	1
435.52	0	435521	 broom.wav	DIN1	2172	1
440.521	0	440522	 kookaburra.wav	DIN1	1631	0
