name	x	y	z
F10h	6.962	5.382	-2.191
F8	6.484	6.404	-0.14
AFF8h	5.699	7.208	1.791
AFF6h	4.811	7.773	3.65
AFF4h	3.62	7.478	5.509
F2	2.253	6.462	6.963
F2h	1.189	5.218	8.134
FCz	0.00	3.596	8.751
FCC1h	-1.153	1.514	9.199
AF10	5.94	7.383	-1.515
AF8	5.076	8.373	0.406
AF6h	3.879	9.036	2.516
AF2	2.608	8.979	4.391
AFF2h	1.233	8.116	6.062
Fz	0.00	6.812	7.282
F1h	-1.189	5.218	8.134
FC1	-2.296	2.914	8.558
AFp10h	4.065	9.406	-0.891
Fp2	2.868	10.015	0.852
AFP2	1.422	10.063	2.848
AFz	0.00	9.403	4.658
AFF1h	-1.233	8.116	6.062
F1	-2.253	6.462	6.963
FFC1	-3.345	4.409	7.673
NFp2h	1.395	10.653	-0.611
FPz	0.00	10.69	1.005
AFP1	-1.422	10.063	2.848
AF1	-2.608	8.979	4.391
AFF3h	-3.62	7.478	5.509
F3h	-4.498	5.594	6.288
Nz	0.00	10.564	-2.051
NFp1h	-1.395	10.653	-0.611
Fp1	-2.868	10.015	0.852
AF5h	-3.879	9.036	2.516
AFF5h	-4.811	7.773	3.65
F5h	-5.105	6.416	4.778
AFp9h	-4.065	9.406	-0.891
AF7	-5.076	8.373	0.406
AFF7h	-5.699	7.208	1.791
F5	-6.17	6.113	3.296
F3	-6.014	4.939	4.858
FFC3	-5.339	3.802	6.327
FC3h	-4.641	2.572	7.509
FCC1	-3.537	1.071	8.474
C1h	-1.995	-0.61	9.289
AF9	-5.94	7.383	-1.515
F7	-6.484	6.404	-0.14
F7h	-6.975	5.351	1.307
FFC5	-7.101	4.233	2.919
FC5h	-6.866	3.162	4.768
FCC3	-6.114	1.942	6.238
C3h	-5.314	0.601	7.488
CCP1	-3.724	-1.146	8.587
F9h	-6.962	5.382	-2.191
FFT7	-7.316	4.372	-0.611
FT7h	-7.664	3.296	1.044
FC5	-7.624	2.302	2.818
FCC5h	-7.366	1.344	4.604
C3	-6.703	0.06	6.24
CCP3h	-5.404	-1.612	7.473
FT9h	-7.541	3.053	-2.519
FT7	-7.771	2.063	-0.807
FTT7h	-7.969	1.207	0.973
C5	-8.066	0.401	2.786
C5h	-7.608	-0.568	4.599
CCP3	-6.816	-1.945	5.931
FTT9	-7.693	1.74	-4.182
FTT9h	-7.745	1.053	-2.471
T3	-7.938	0.072	-0.97
TTP7h	-7.989	-0.752	0.842
CCP5	-8.059	-1.503	2.768
CCP5h	-7.564	-2.311	4.303
T11h	-7.526	0.731	-5.96
TP7	-7.768	-1.841	-0.927
TP7h	-7.793	-2.732	1.10
CP5	-7.462	-3.493	2.959
CP5h	-6.869	-3.794	4.894
CP3h	-5.653	-3.846	6.521
CP1	-4.125	-3.548	7.954
CP1h	-2.236	-2.958	8.925
CCPz	0.00	-1.938	9.459
TTP11h	-7.128	-0.492	-7.349
TPP7	-7.379	-3.497	-2.183
TPP7h	-7.522	-3.70	-0.514
CPP5	-7.152	-4.711	1.518
CPP5h	-6.488	-5.158	3.473
CPP3	-5.531	-5.462	5.502
CPP1	-4.038	-5.238	7.045
CPP1h	-2.295	-4.878	8.272
CPz	0.00	-3.742	9.028
TP11	-6.826	-1.864	-8.694
TPP11h	-6.74	-2.848	-6.747
TPP9	-6.784	-4.018	-5.018
P9h	-7.033	-4.451	-3.549
T5	-6.991	-5.017	-1.888
P7h	-6.676	-5.736	0.102
P5h	-5.969	-6.529	2.033
P3	-5.108	-6.749	3.921
P1	-3.752	-6.677	5.637
P1ha	-2.149	-6.292	7.115
Pz	0.00	-7.15	6.954
P11	-6.37	-3.825	-8.206
P11h	-6.243	-4.622	-6.496
PPO9	-6.097	-5.611	-4.679
PPO9h	-6.314	-6.013	-3.259
PO7	-5.984	-6.747	-1.403
PO5	-5.237	-7.574	0.466
PPO3	-4.291	-8.113	2.384
