onset	duration	sample	stimuli	name	response_time	value
8.083	0	8084	PARACHUT	DIN1	1644	1
12.583	0	12584	RULER	DIN1	1524	1
18.083	0	18084	FISH	DIN1	647	1
22.583	0	22584	TENTE	DIN1	759	1
27.083	0	27084	TURTLE	DIN1	624	1
31.583	0	31584	FOX	DIN1	690	1
36.083	0	36084	BANANA	DIN1	827	1
40.583	0	40584	EAR	DIN1	613	1
46.083	0	46084	UMBRELLA	DIN1	1431	1
50.583	0	50584	LEG	DIN1	537	1
56.083	0	56084	frenchcr	DIN1	699	1
61.583	0	61584	MOON	DIN1	997	1
66.083	0	66084	FLOWER	DIN1	1503	1
71.582	0	71583	KITE	DIN1	873	1
76.082	0	76083	SANDWICH	DIN1	883	1
80.582	0	80583	LLAMA	DIN1	628	1
86.082	0	86083	ANCHOR	DIN1	775	1
90.582	0	90583	BENCH	DIN1	583	1
96.082	0	96083	BOW	DIN1	746	1
100.582	0	100583	DOLPHIN	DIN1	668	1
106.082	0	106083	LOCK	DIN1	814	1
110.582	0	110583	CHIMNEY	DIN1	648	1
116.082	0	116083	FEATHER	DIN1	794	1
120.582	0	120583	JELLYFIS	DIN1	595	1
126.082	0	126083	LEOPARD	DIN1	Rien	0
131.582	0	131583	CHEESE	DIN1	904	1
136.082	0	136083	STRAWBER	DIN1	834	1
141.582	0	141583	PINEAPPL	DIN1	748	1
147.082	0	147083	ONION	DIN1	911	1
151.582	0	151583	rugbybal	DIN1	697	1
157.082	0	157083	TABLE	DIN1	562	1
161.582	0	161583	GRAPES	DIN1	804	1
167.082	0	167083	ARROW	DIN1	894	1
172.582	0	172583	SALTSHAK	DIN1	849	1
178.082	0	178083	TENNISRA	DIN1	1292	1
183.582	0	183583	APPLE	DIN1	622	1
189.082	0	189083	PALMTREE	DIN1	625	1
193.582	0	193583	LIGHTBUL	DIN1	1514	1
199.082	0	199083	SPIDER	DIN1	605	1
204.581	0	204582	RHINOCER	DIN1	1143	1
209.081	0	209082	AXE	DIN1	625	1
214.581	0	214582	TELEVISI	DIN1	1404	1
220.082	0	220083	ALLIGATO	DIN1	581	1
225.582	0	225583	BALL	DIN1	656	1
230.082	0	230083	WELL	DIN1	849	1
235.582	0	235583	LADDER	DIN1	604	1
240.082	0	240083	PLUG	DIN1	878	1
245.582	0	245583	RING	DIN1	864	1
250.082	0	250083	MOTORCYC	DIN1	1361	1
254.582	0	254583	THUMB	DIN1	602	1
259.082	0	259083	BELT	DIN1	963	1
264.582	0	264583	LEAF	DIN1	1206	1
269.082	0	269083	CACTUS	DIN1	671	1
274.582	0	274583	LAMP	DIN1	810	1
280.082	0	280083	RAKE	DIN1	957	1
284.582	0	284583	CRAB	DIN1	638	1
289.082	0	289083	HAT	DIN1	1127	1
294.582	0	294583	TOMATO	DIN1	Rien	0
300.082	0	300083	GARBAGEC	DIN1	Rien	0
305.582	0	305583	BOOT	DIN1	743	1
311.082	0	311083	CLOWN	DIN1	690	1
315.582	0	315583	BARREL	DIN1	1075	1
321.082	0	321083	CAKE	DIN1	989	1
326.582	0	326583	SOCK	DIN1	816	1
332.081	0	332082	SUITCASE	DIN1	755	1
336.581	0	336582	TOTEMPOL	DIN1	820	1
341.081	0	341082	FLAG	DIN1	629	1
345.581	0	345582	BALLOON	DIN1	559	1
351.081	0	351082	DINOSAUR	DIN1	657	1
355.581	0	355582	CROWN	DIN1	954	1
360.081	0	360082	BED	DIN1	1140	1
364.581	0	364582	STARFISH	DIN1	605	1
370.081	0	370082	SHARK	DIN1	656	1
374.581	0	374582	SCORPION	DIN1	617	1
379.081	0	379082	RABBIT	DIN1	651	1
384.581	0	384582	DRESS	DIN1	733	1
389.081	0	389082	YOYO	DIN1	774	1
393.581	0	393582	PEAR	DIN1	1087	1
398.081	0	398082	HOUSE	DIN1	2185	1
403.581	0	403582	LADYBUG	DIN1	715	1
