onset	duration	sample	stimuli	name	response_time	value
10.268	0	10269	ALLIGATO	DIN1	984	1
15.768	0	15769	APPLE	DIN1	1183	1
21.268	0	21269	ARM	DIN1	1238	1
25.768	0	25769	Scrambled	DIN1	-1	1
30.268	0	30269	TELEVISI	DIN1	1160	1
34.768	0	34769	Scrambled	DIN1	-1	1
39.268	0	39269	BEAR	DIN1	1355	1
43.768	0	43769	BED	DIN1	1494	1
48.268	0	48269	BELL	DIN1	1304	1
53.767	0	53768	BENCH	DIN1	1152	1
58.266	0	58267	Scrambled	DIN1	-1	1
62.766	0	62767	BRAIN	DIN1	1236	1
68.267	0	68268	Scrambled	DIN1	-1	1
73.766	0	73767	CACTUS	DIN1	1409	1
79.266	0	79267	CATERPIL	DIN1	1350	1
84.766	0	84767	Scrambled	DIN1	-1	1
89.266	0	89267	Scrambled	DIN1	-1	1
93.766	0	93767	DINOSAUR	DIN1	1383	1
99.266	0	99267	DOLPHIN	DIN1	1206	1
103.766	0	103767	EAR	DIN1	1191	1
109.266	0	109267	LADDER	DIN1	1236	1
113.766	0	113767	Scrambled	DIN1	-1	1
118.266	0	118267	Scrambled	DIN1	-1	1
122.765	0	122766	Scrambled	DIN1	-1	1
127.265	0	127266	FOOT	DIN1	1344	1
131.765	0	131766	FOX	DIN1	Rien	0
136.265	0	136266	GARBAGEC	DIN1	1072	1
141.765	0	141766	Scrambled	DIN1	-1	1
147.265	0	147266	HAMMER	DIN1	1487	1
152.765	0	152766	TURTLE	DIN1	1252	1
157.265	0	157266	Scrambled	DIN1	-1	1
162.765	0	162766	HIPPOPOT	DIN1	1421	1
168.265	0	168266	HOUSE	DIN1	1142	1
172.765	0	172766	IGLOO	DIN1	1312	1
178.265	0	178266	JELLYFIS	DIN1	1106	1
183.765	0	183766	KANGAROO	DIN1	1441	1
189.264	0	189265	EYE	DIN1	1302	1
193.763	0	193764	Scrambled	DIN1	-1	1
199.263	0	199264	LAMP	DIN1	1380	1
204.763	0	204764	Scrambled	DIN1	-1	1
209.263	0	209264	WHALE	DIN1	1219	1
214.763	0	214764	Scrambled	DIN1	-1	1
