onset	duration	sample	stimuli	name	response_time	value
6.498	0	6499	PARACHUT	DIN1	767	1
10.998	0	10999	RULER	DIN1	665	1
15.498	0	15499	FISH	DIN1	610	1
19.998	0	19999	TENTE	DIN1	660	1
24.498	0	24499	TURTLE	DIN1	589	1
28.998	0	28999	FOX	DIN1	759	1
34.498	0	34499	BANANA	DIN1	745	1
39.998	0	39999	EAR	DIN1	723	1
45.498	0	45499	UMBRELLA	DIN1	910	1
50.998	0	50999	LEG	DIN1	688	1
55.498	0	55499	frenchcr	DIN1	698	1
59.997	0	59998	MOON	DIN1	700	1
65.498	0	65499	FLOWER	DIN1	702	1
70.997	0	70998	KITE	DIN1	648	1
75.497	0	75498	SANDWICH	DIN1	993	1
79.997	0	79998	LLAMA	DIN1	699	1
84.497	0	84498	ANCHOR	DIN1	684	1
88.997	0	88998	BENCH	DIN1	838	1
94.498	0	94499	BOW	DIN1	648	1
99.998	0	99999	DOLPHIN	DIN1	787	1
105.498	0	105499	LOCK	DIN1	845	1
110.998	0	110999	CHIMNEY	DIN1	800	1
116.498	0	116499	FEATHER	DIN1	778	1
120.998	0	120999	JELLYFIS	DIN1	772	1
125.498	0	125499	LEOPARD	DIN1	Rien	0
129.997	0	129998	CHEESE	DIN1	902	1
134.498	0	134499	STRAWBER	DIN1	792	1
138.998	0	138999	PINEAPPL	DIN1	977	1
143.498	0	143499	ONION	DIN1	1066	1
147.998	0	147999	rugbybal	DIN1	867	1
153.498	0	153499	TABLE	DIN1	750	1
157.998	0	157999	GRAPES	DIN1	831	1
162.498	0	162499	ARROW	DIN1	705	1
167.998	0	167999	SALTSHAK	DIN1	668	1
172.498	0	172499	TENNISRA	DIN1	812	1
176.998	0	176999	APPLE	DIN1	1094	1
182.498	0	182499	PALMTREE	DIN1	896	1
187.998	0	187999	LIGHTBUL	DIN1	763	1
193.497	0	193498	SPIDER	DIN1	846	1
198.998	0	198999	RHINOCER	DIN1	1425	1
204.497	0	204498	AXE	DIN1	818	1
208.997	0	208998	TELEVISI	DIN1	755	1
213.497	0	213498	ALLIGATO	DIN1	1389	1
217.997	0	217998	BALL	DIN1	863	1
223.497	0	223498	WELL	DIN1	857	1
227.997	0	227998	LADDER	DIN1	1003	1
232.497	0	232498	PLUG	DIN1	884	1
237.997	0	237998	RING	DIN1	1134	1
242.497	0	242498	MOTORCYC	DIN1	984	1
247.997	0	247998	THUMB	DIN1	706	1
252.497	0	252498	BELT	DIN1	1164	1
257.997	0	257998	LEAF	DIN1	743	1
263.497	0	263498	CACTUS	DIN1	881	1
267.997	0	267998	LAMP	DIN1	1258	1
273.497	0	273498	RAKE	DIN1	781	1
278.997	0	278998	CRAB	DIN1	703	1
283.497	0	283498	HAT	DIN1	753	1
288.997	0	288998	TOMATO	DIN1	1739	1
294.497	0	294498	GARBAGEC	DIN1	926	1
299.997	0	299998	BOOT	DIN1	1408	1
304.497	0	304498	CLOWN	DIN1	849	1
309.997	0	309998	BARREL	DIN1	2204	1
315.497	0	315498	CAKE	DIN1	806	1
319.997	0	319998	SOCK	DIN1	864	1
325.497	0	325498	SUITCASE	DIN1	Rien	0
330.996	0	330997	TOTEMPOL	DIN1	820	1
336.496	0	336497	FLAG	DIN1	887	1
340.996	0	340997	BALLOON	DIN1	688	1
345.496	0	345497	DINOSAUR	DIN1	810	1
349.996	0	349997	CROWN	DIN1	956	1
354.496	0	354497	BED	DIN1	1661	1
358.996	0	358997	STARFISH	DIN1	790	1
364.496	0	364497	SHARK	DIN1	864	1
369.996	0	369997	SCORPION	DIN1	787	1
375.496	0	375497	RABBIT	DIN1	942	1
379.996	0	379997	DRESS	DIN1	855	1
385.496	0	385497	YOYO	DIN1	898	1
389.996	0	389997	PEAR	DIN1	691	1
395.496	0	395497	HOUSE	DIN1	Rien	0
400.996	0	400997	LADYBUG	DIN1	752	1
